obs_id,season,day_of_week,operational_state,temperatura_c,ph,caudal_m3h,dbo5_mgl,dqo_mgl,dqo_dbo_ratio,nh4_mgl,od_mgl,adh_ugTTF_gVSS_h,toxicity_pct,adh_pct,od_pct,nh4_pct,bhi,bhi_label,decreto_674_dbo_compliant,decreto_674_nh4_compliant
1,summer,Mon,stressed,27.94,6.472,35.23,120.85,243.83,2.018,64.37,0.05,0.4429,51.83,9.84,0.54,30.65,31.98,critical,0,0
2,autumn,Tue,healthy,19.58,7.315,14.52,46.72,74.56,1.596,8.19,8.29,2.0392,7.67,45.32,90.11,3.9,80.97,healthy,1,1
3,winter,Wed,critical,11.91,5.576,54.17,452.37,1087.57,2.404,205.88,0.05,0.031,58.37,0.69,0.54,98.04,11.2,critical,0,0
4,spring,Thu,stressed,18.54,7.283,31.98,122.76,223.29,1.819,47.08,1.836,0.7987,35.97,17.75,19.96,22.42,44.83,critical,0,0
5,summer,Fri,critical,28.71,7.036,55.53,224.96,577.3,2.566,74.72,0.05,0.1703,85.68,3.78,0.54,35.58,20.77,critical,0,0
6,autumn,Sat,healthy,19.83,7.331,12.43,26.05,44.58,1.711,3.41,5.648,1.3059,1,29.02,61.39,1.63,71.95,stressed,1,1
7,winter,Sun,critical,12.18,6.199,20,180,482.09,2.678,65,0.05,0.0763,92.86,1.7,0.54,30.95,19.61,critical,0,0
8,spring,Mon,critical,16.48,5.607,45.12,414.38,947.79,2.287,144.84,0.05,0.0839,76.37,1.86,0.54,68.97,14.27,critical,0,0
9,summer,Tue,healthy,31.08,7.212,20.6,29.42,55.06,1.872,8.43,8.069,2.137,9.13,47.49,87.71,4.02,80.51,healthy,1,1
10,autumn,Wed,stressed,20.53,6.489,35.24,140.37,230.07,1.639,25.2,0.893,0.3811,39.75,8.47,9.71,12.0,41.61,critical,0,1
11,winter,Thu,healthy,12.5,6.867,13.19,33.01,47.63,1.443,7.58,8.943,1.8934,8.91,42.08,97.21,3.61,81.69,healthy,1,1
12,spring,Fri,critical,22.87,5.951,23.08,268.91,660.21,2.455,132.36,0.05,0.0716,68.9,1.59,0.54,63.03,17.55,critical,0,0
13,summer,Sat,healthy,29.62,6.996,13.02,10,16.57,1.657,5.37,8.089,1.7072,4.58,37.94,87.93,2.56,79.68,healthy,1,1
14,autumn,Sun,healthy,19.45,7.205,10.29,14.18,23.1,1.629,1,6.556,1.8515,13.95,41.15,71.26,0.48,74.49,stressed,1,1
15,winter,Mon,stressed,12.32,6.637,24.11,170.61,282.7,1.657,51.94,1.525,0.5425,36.17,12.06,16.58,24.73,41.93,critical,0,0
16,spring,Tue,critical,23.21,6.655,51.16,396.13,865.58,2.185,149.18,0.05,0.0703,90.21,1.56,0.54,71.04,10.21,critical,0,0
17,summer,Wed,healthy,27.18,7.272,20.81,39.82,66.09,1.66,9.68,6.505,2.0692,6.35,45.98,70.71,4.61,76.43,healthy,1,1
18,autumn,Thu,critical,19.54,5.84,48.67,533.66,1238.56,2.321,149.58,0.05,0.0903,76.62,2.01,0.54,71.23,13.68,critical,0,0
19,winter,Fri,healthy,10.79,7.491,23.06,40.28,65.63,1.629,5.17,7.845,1.5936,16.17,35.41,85.27,2.46,75.51,healthy,1,1
20,spring,Sat,healthy,19.51,7.343,10.85,12.26,21.52,1.756,3.63,9.0,2.3243,6.52,51.65,97.83,1.73,85.31,healthy,1,1
21,summer,Sun,stressed,27.59,7.192,14,45,82.98,1.844,39.38,3.388,1.0335,34.28,22.97,36.83,18.75,51.69,stressed,1,0
